Model,Dense Layers Activation Function,Representation,Vocab Size,Max Length,Uni/Bidirectional,Trainable Params,Regularization,Epochs,Training Time (secs),Training Time/Epoch,Train Accuracy,Validation Accuracy,Test Accuracy,Test Precision,Test Recall
DNN - 4 layers of 256 Neurons,tanH,One-hot,1000,40,Unidirectional," 208,900 ",50% Dropout,4, 72 ,18,0.2639,0.2825,0.2710,0.29,0.27
RNN (128 Units),ReLU,One-hot,1000,40,Unidirectional," 153,028 ",None,9," 1,197 ",133,0.8616,0.8552,0.8534,0.85,0.85
RNN (128 Units),ReLU,One-hot,1000,40,Bidirectional," 305,732 ",None,6," 1,265 ",210.83,0.8565,0.8560,0.8522,0.85,0.85
LSTM (128 Units),ReLU,One-hot,1000,40,Unidirectional," 586,564 ",None,9, 319 ,35.44,0.8556,0.8563,0.8543,0.85,0.85
LSTM (128 Units),ReLU,One-hot,1000,40,Bidirectional," 1,172,804 ",None,22, 885 ,40.23,0.8799,0.8690,0.8634,0.86,0.86
GRU (128 Units),ReLU,One-hot,1000,40,Unidirectional," 442,436 ",None,14, 412 ,29.43,0.8868,0.8655,0.8628,0.86,0.86
GRU (128 Units),ReLU,One-hot,1000,40,Bidirectional," 884,548 ",None,9, 336 ,37.33,0.8835,0.8693,0.8646,0.86,0.86
GRU (128 Units),ReLU,One-hot,1000,40,Bidirectional," 884,548 ",50% Dropout,11, 395 ,35.91,0.8675,0.8667,0.8584,0.86,0.86
GRU (128 Units),ReLU,One-hot,1000,40,Unidirectional," 442,436 ",20% Dropout,11, 339 ,30.82,0.8728,0.8682,0.8632,0.86,0.86
GRU (128 Units),ReLU,One-hot,1000,40,Unidirectional," 209,092 ","25% Recurrent Dropout, 20% Dropout",8," 4,056 ",507,0.8574,0.8645,0.8559,0.86,0.86
1D Conv (128 Filters),ReLU,One-hot,1000,40,Unidirectional," 392,644 ",50% Dropout,7, 155 ,22.14,0.8567,0.8642,0.8555,0.85,0.86
